,Sentence,Usage,Idiom,BetweenPOS,NumOfWordsBetween,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG
1218,he stand up suddenly send he chair skim back to hit the wall behind he,L,hit_wall,['AT0'],1,TO0,AVP,PRP,PNP,1,15,0.16718181818181818
1219,luke get up quickly send he chair roll back to hit the wall behind he desk with a crash that make merrill jump,L,hit_wall,['AT0'],1,TO0,AVP,PRP,DPS,1,23,0.13543749999999996
1220,it gather speed and suddenly hit the wall by the foot of the bed,L,hit_wall,['AT0'],1,AV0,CJC,PRP,AT0,1,14,0.37645454545454554
1221,everyone talk about hit a wall at the 24 mile mark,I,hit_wall,['AT0'],1,PRP,VVZ,PRP,AT0,1,11,-0.20385714285714282
1222,splash of it have hit the wall behind the basin and there be three oval blot of it on the floor,L,hit_wall,['AT0'],1,VHD,PNP,PRP,AT0,1,21,0.39971428571428574
1223,but every so often i go a bit crazy and hit a wall or go out and start drink but that sort of thing do not worry i very much,L,hit_wall,['AT0'],1,CJC,AJ0,CJC,VVB,1,30,0.011937499999999998
1224,it hit the wall four foot below he,L,hit_wall,['AT0'],1,PNP,,CRD,NN2,1,8,0.05425000000000002
1225,dorigo 's free kick hit the wall,L,hit_wall,['AT0'],1,NN1,AJ0,,,1,7,0.025400000000000013
1226,a great shudder go through the old house as with a sickening crunch the weight hit she front wall,L,hit_wall,"['PNP', 'AJ0-NN1']",2,NN1,AT0,,,1,19,0.14315384615384616
1227,the cavalier be be follow through milton keynes when it turn into the cul-de-sac and hit the wall at about 50 mile an hour,L,hit_wall,['AT0'],1,CJC,NN1,PRP,AV0,1,24,0.08009090909090909
1228,more people could have be seriously hurt if a passenger have not leap forward and slam on the brake stop the coach hit a wall,L,hit_wall,['AT0'],1,NN1,AT0,,,1,25,0.13418750000000002
1229,a motorcyclist die when he hit a wall after be chase by police at more than a hundred mile an hour,L,hit_wall,['AT0'],1,PNP,CJS,PRP,VBG,1,21,-0.10612500000000001
1230,ian arrol die from massive head injury when he powerful motorbike go out of control and hit a wall on crickley hill outside gloster,L,hit_wall,['AT0'],1,CJC,NN1,PRP,NP0,1,24,-0.10426666666666667
1231,it collapse when the boy hit it wall with a metal pole even though friend tell he to stop,L,hit_wall,['DPS'],1,NN1,AT0,PRP,AT0,1,19,0.24409090909090914
1232,the brother say lewis have begin hit the wall with a metal pole they tell he to stop but he continue,L,hit_wall,['AT0'],1,VVN,VHD,PRP,AT0,1,21,0.33149999999999996
1233,a man and he woman pillion passenger die instantly when they lose control of the machine and hit a wall,L,hit_wall,['AT0'],1,CJC,NN1,,,1,20,0.06975
1234,in a hard race with only eight of the 28 starter complete the 77 lap mansell who win the pole position with a speed of 106.627mph spin and hit a wall,L,hit_wall,['AT0'],1,CJC,VVN,,,2,31,0.19449999999999995
1235,mansell go wide and hit the outside wall with he right front tyre damage the suspension and cause he to retire,L,hit_wall,"['AT0', 'AJ0']",2,CJC,AJ0,PRP,DPS,1,21,0.1462142857142857
1236,philip smith of stanghow road be poorly but stable in middlesbrough general hospital last night after he car hit a wall on stanghow road between lingdale and skelton cleveland,L,hit_wall,['AT0'],1,NN1,DPS,PRP,NP0,1,29,-0.046312500000000006
1237,she say he speed out and hit the wall,L,hit_wall,['AT0'],1,CJC,AVP,,,2,9,0.024833333333333346
1238,i have try everywhere in the legion but every time i have hit a brick wall,Q,hit_wall,"['AT0', 'NN1']",2,VHB,PNP,,,1,16,0.24136363636363634
1239,before you hit the blank wall you turn to you left,L,hit_wall,"['AT0', 'AJ0']",2,PNP,CJS,PNP,VVB,1,11,0.10871428571428575
1240,it must hit the wall and bounce off,L,hit_wall,['AT0'],1,VM0,PNP,CJC,VVB-NN1,1,8,0.049800000000000025
1241,it be bind to hit the wall,Q,hit_wall,['AT0'],1,TO0,VVN,,,2,7,0.36300000000000004
1242,paul the frisbee be bind to hit the wall,L,hit_wall,['AT0'],1,TO0,VVN,,,2,9,0.4961428571428571
1243,ah she say she see this fella hit the wall and hit the football halfway out in the road it be fuck i,L,hit_wall,['AT0'],1,NN1,DT0,CJC,VVG,1,23,-0.015499999999999993
1244,cos it be hit the wall the whole thing be you could watch the vibration come down the wall,L,hit_wall,['AT0'],1,VBD,PNP,AT0,AJ0,2,19,0.37516666666666665
1245,the lorry jackknife and hit a stone wall cause serious injury to the driver,L,hit_wall,"['AT0', 'NN1']",2,CJC,VVD,VVG,AJ0,1,14,0.251
1246,cabinet minister including the foreign secretary mr douglas hurd who want british entry into the exchange rate mechanism some time next year if possible be hold fire,I,hold_fire,[],0,VBB,AJ0,,,1,27,0.2225625
1247,leader of opposition faction say that mr yeltsin 's easy ride mean they be simply hold they fire for a more opportune moment to challenge the government during the nine-day congress,I,hold_fire,['DPS'],1,AV0,VBD,PRP,AT0,1,31,0.39160000000000006
1248,she find herself think i have hold i fire too long and lose the moment of action,Q,hold_fire,['DPS'],1,VHB,PNP,AV0,AJ0-AV0,1,17,0.41609090909090907
1249,one could see the edge of the iron basket which hold the fire,L,hold_fire,['AT0'],1,DTQ,NN1,,,1,13,0.3452727272727273
1250,thiercelin signal to the sharpshooter man the low window of the dining-room to hold they fire,L,hold_fire,['DPS'],1,TO0,NN1,,,2,16,0.5077692307692308
1251,when other nation subsequently join the eec i decide it be time to hold fire on future antichrist prophecy,I,hold_fire,[],0,TO0,NN1,PRP,AJ0,1,19,0.2919090909090909
1252,the rebel hold they fire till the dragoon be within ten yard 9 m of they then reply with a very sharp pop kind of volley which do such execution that one bystander see daylight through they in several place,L,hold_fire,['DPS'],1,NN2,AT0,CJS,AT0,1,40,0.16870370370370366
1253,i hold i fire until the enemy be within range,L,hold_fire,['DPS'],1,PNP,,CJS,AT0,1,10,0.5503333333333333
1254,more conventional thinker in the labour leadership see discretion as the good part of valour and hold they fire,I,hold_fire,['DPS'],1,CJC,NN1,,,1,19,0.5660769230769231
1255,but in a no-nonsense speech to american businessman the bank 's governor robin-leigh pemberton issue a thinly-veiled warning to the government to hold fire on let millions of homeowner off the hook,I,hold_fire,[],0,TO0,NN1,PRP,VVG,1,32,0.32352380952380955
1256,they might at present be choose to hold they fire but that do not mean they would have throw the communication into they wastepaper basket,I,hold_fire,['DPS'],1,TO0,VVG,CJC,DT0,1,25,0.4577692307692308
1257,tell we skirmisher to hold they fire,Q,hold_fire,['DPS'],1,TO0,NN2,,,1,7,0.40525
1258,flame stab across the furniture from the french side and the general shout at he man to hold they damned fire and to pull the barricade down instead,L,hold_fire,"['DPS', 'AJ0']",2,TO0,NN2,CJC,TO0,1,28,0.23245000000000005
1259,two of the green-coated horseman unholstered they carbine and take aim at sharpe but they officer shout at the trooper to hold they fire,L,hold_fire,['DPS'],1,TO0,NN2,,,1,24,0.34235714285714286
1260,appear when fire be hold down this long beam weapon can be swing in a 360 degree arc,Q,hold_fire,"['AVP', 'DT0', 'AJ0', 'NN1-VVB', 'NN1', 'VM0', 'VBI', 'VVN', 'PRP', 'AT0', 'CRD', 'NN1']",12,VBZ,NN1,,,1,18,0.09436363636363637
1261,she eye despite she year still hold they fire and though she figure have thicken somewhat to katherine 's young eye she seem the very embodiment of the word regal,L,hold_fire,['DPS'],1,AV0,NN2,CJC,CJS,1,30,0.38755000000000006
1262,o who can hold a fire in he hand by think on the frosty caucasus,L,hold_fire,['AT0'],1,VM0,PNQ,PRP,DPS,1,15,0.34242857142857147
1263,aurangzeb 's musketeer hold they fire until the last minute then discharge they entire artillery,L,hold_fire,['DPS'],1,NN2,POS,PRP,AT0,1,15,0.14450000000000002
1264,the fireplace hold a gas fire the wall be a figure cream paper the three-piece suite of maroon uncut moquette,L,hold_fire,"['AT0', 'NN1']",2,NN1,AT0,AT0,NN2,3,20,0.3767333333333334
1265,they run around the wall of the village hold streaming fire,L,hold_fire,['AJ0-VVG'],1,NN1,AT0,,,1,11,0.3428888888888889
1266,that be the main problem what it be i be ho we be hold fire,Q,hold_fire,[],0,VBB,PNP,,,1,15,0.17060000000000003
1267,the temp we be hold fire on they to know what to do with it,Q,hold_fire,[],0,VBB,PNP,PRP,PNP,1,15,0.533375
1268,it hold passion and fire it be a kiss of domination that ask for surrender yet promise surrender in return,L,hold_fire,"['NN1', 'CJC']",2,PNP,,PNP,VBD,1,20,0.4114615384615385
1269,we know the german signal for the night so we trick they into hold fire until we be about a mile out then all hell break loose,L,hold_fire,[],0,PRP,PNP,CJS,PNP,1,27,-0.06493333333333334
1270,major hold fire on maastricht treaty,Q,hold_fire,[],0,NP0,,PRP,NP0,1,6,0.41950000000000004
1271,he say that the fire be be hold in by the collapsed roof they want to let air get to it so it will burn itself out,L,hold_fire,"['AVP', 'PRP', 'AT0', 'AJ0', 'NN1', 'PNP', 'VVB', 'TO0', 'VVI', 'NN1', 'VVI', 'PRP', 'PNP', 'AV0', 'PNP', 'VM0', 'VVI', 'PNX']",18,VBG,VBZ,,,2,27,0.4430714285714285
1272,meanwhile the bbc sso be hold fire on ballote it member until it receive more information about the merger to create a national orchestra of scotland which would double as the orchestra for both the bbc and so,I,hold_fire,[],0,VBZ,NP0-NN1,PRP,VVG,1,38,0.6393333333333334
1273,the government and the radical hezb-i-islami agree to hold they fire from late on saturday to facilitate negotiation of a permanent truce retired pakistani lt-gen hamid gul say,L,hold_fire,['DPS'],1,TO0,VVD,PRP,AJ0-AV0,2,28,0.46629411764705875
1274,the government and the radical hezb-i-islami agree to hold they fire from late on saturday to facilitate negotiation of a permanent truce retired pakistani lt-gen hamid gul say,L,hold_fire,['DPS'],1,TO0,VVD,PRP,AJ0-AV0,1,28,0.46629411764705875
1275,they can also hold they fire until the regulation implement the decision be introduce in november or december this year,Q,hold_fire,['DPS'],1,AV0,VM0,CJS,AT0,1,20,0.3412
1276,she will hold fire on that she will wait till she be in there and she will then she will sa then she will start alright,Q,hold_fire,[],0,VM0,PNP,AVP-PRP,CJT,1,26,0.30433333333333334
1277,it be major herriott 's turn to get out of the office have hold the fort whilst he leader have be away,I,hold_fort,['AT0'],1,VHG,NN1,CJS,DPS,1,22,0.4746666666666667
1278,after edward adeane 's departure david roycroft who be a career diplomat from the foreign office have hold the fort until a successor could be find but the whole set-up have always be curiously amateurish,I,hold_fort,['AT0'],1,VHD,NN1,CJS-PRP,AT0,1,35,0.2509444444444446
1279,i will hold the fort and fill you in when you get back,I,hold_fort,['AT0'],1,VM0,PNP,CJC,VVB,1,13,0.6478571428571429
1280,hold the fort here,Q,hold_fort,['AT0'],1,,NN1,AV0,,1,4,0.883
1281,he rigorous moral choice against communism strengthen a sense of moral superiority among the german who feel that they be hold the fort for the free world,I,hold_fort,['AT0'],1,VBD,PNP,PRP,AT0,2,27,0.43411111111111106
1282,insurance policy wise investment sensible diet and burglar alarm if only we can lay down enough of they the reasoning go we can maybe hold the fort against the chaos that rage outside,I,hold_fort,['AT0'],1,AV0,VM0,PRP,AT0,1,33,0.14424000000000003
1283,one day while i be away and mother be hold the fort he crack,I,hold_fort,['AT0'],1,VBD,NN1,PNP,VVD,1,14,0.129125
1284,at the time of writing committee member jill hewett be hold the fort in convocation office several morning a week whilst we seek a replacement,I,hold_fort,['AT0'],1,VBZ,NP0,PRP,NN1,1,25,0.33747058823529413
1285,where you mother hold fort or any house,I,hold_fort,[],0,NN1,DPS,CJC,DT0,1,8,0.64425
1286,this remarkable man be a loyal supporter of the bdda all he life and none more worthy could have be choose to hold the fort as president,I,hold_fort,['AT0'],1,TO0,VVN,PRP,NN1,1,27,0.5779411764705884
1287,no i dear i will stay here and hold the fort,I,hold_fort,['AT0'],1,CJC,AV0,,,1,11,0.6914
1288,frogmore must hold the fort,Q,hold_fort,['AT0'],1,VM0,NP0,,,1,5,0.883
1289,fill the breach hold the fort and that kind of thing,I,hold_fort,['AT0'],1,NN1,AT0,CJC,DT0,1,11,0.5945
1290,i call he in express i gratitude at he willingness to hold the fort in the boarding annexe and then offer he a sherry if he should feel like it later on,I,hold_fort,['AT0'],1,TO0,NN1,PRP,AT0,1,32,0.5564615384615386
1291,you get we into this be i uncharitable thought now you hold the fort while we climb out of it,I,hold_fort,['AT0'],1,PNP,AV0,CJS,PNP,1,20,0.41455555555555557
1292,and jill the housekeeper i have employ just before leave england be just about hold the fort,I,hold_fort,['AT0'],1,AV0,AV0,,,1,17,0.5781818181818182
1293,i be sure becky can hold the fort besides i will be around if i be need,I,hold_fort,['AT0'],1,VM0,NP0,AV0,PNP,1,17,0.7558333333333334
1294,certainly it be the view adopt for example when we have a 6 month interregnum in dublin and it be assume it be i responsibility to hold the fort,I,hold_fort,['AT0'],1,TO0,NN1,,,1,29,0.5033333333333333
1295,it have be pretty hectic anyhow he explain before point out that the chairman and treasurer have both resign and he be leave hold the fort,I,hold_fort,['AT0'],1,VVN,VBD,,,1,26,0.18793749999999998
1296,as soon as they reach bagno di romagna zen have phone geraci who he have leave hold the fort and inquire about ivy cook,I,hold_fort,['AT0'],1,VVN,VHD,CJC,VVD,1,24,0.3444615384615386
1297,luce dial the number of the gallery remark she will be at work but liz should be able to hold the fort it necessary,I,hold_fort,['AT0'],1,TO0,AJ0,PNP,AJ0,1,24,0.39746666666666663
1298,we be off on a call hold the fort eh,I,hold_fort,['AT0'],1,NN1,AT0,ITJ,,1,10,0.41000000000000003
1299,if you want to disappear sophie helen say i will hold the fort though quite frankly i do not understand why you want to avoid robert,I,hold_fort,['AT0'],1,VM0,PNP,CJS,AV0,1,26,0.45918181818181814
1300,i will hold the fort for you and ring you if anything come up,I,hold_fort,['AT0'],1,VM0,PNP,PRP,PNP,1,14,0.5592857142857143
1301,they probably have to rake she in to hold the fort,Q,hold_fort,['AT0'],1,TO0,AVP,,,1,11,0.570888888888889
1302,hold you horse mrs parvis,Q,hold_horse,['DPS'],1,,NP0,NP0,NP0,1,5,0.4285
1303,if the handler can manage to hold the horse properly and feed it lucerne hay at the same time a successful shoeing be more likely,L,hold_horse,['AT0'],1,TO0,VVI,AV0,CJC,3,25,0.5347142857142858
1304,sometimes it help if the person who be hold the horse pat the horse on the neck in exact time to the farrier hammer on it foot especially if it be the actual hammering that worry the horse the most,L,hold_horse,['AT0'],1,VBZ,PNQ,VVZ,AT0,5,40,0.46352000000000004
1305,the royal stable near the school could hold 2â€“300 horse,L,hold_horse,['CRD'],1,VM0,NN1,,,2,10,0.48625000000000007
1306,but if you be prepared to hold you horse a little until that final fence i have a feeling that you may well end up ahead of the rest of the field jh,Q,hold_horse,['DPS'],1,TO0,AJ0,AT0,AV0,1,33,0.47872222222222227
1307,a groom run forward to hold they horse while another amble off to tell sir thomas of they arrival,L,hold_horse,['DPS'],1,TO0,AV0,CJS,DT0,1,19,0.16553846153846155
1308,there be a man hold a horse and another beside he,L,hold_horse,['AT0'],1,NN1,AT0,CJC,DT0,1,11,0.22974999999999998
1309,charles 's cavalry rally to hold off the 500 enemy horse which break through into the rear of he line and form a protective corridor down which he and those of he man still able to fight slowly withdraw fiercely resist,L,hold_horse,"['PRP-AVP', 'AT0', 'CRD', 'NN1']",4,TO0,VVD-VVN,DTQ,VVD,1,41,0.1858620689655173
1310,it hold up to three horse and will be drive to and from london by mrs charley from they home just outside coventry,L,hold_horse,"['AVP', 'PRP', 'CRD']",3,PNP,,CJC,VM0,2,23,0.22525000000000003
1311,he scout have assess that the enemy number would reach around twenty thousand and be move fairly fast a mounted host save for the islesman and highlander who train to proceed long distance at the run and lightly clad do not hold up the horse to any extent,L,hold_horse,"['AVP', 'AT0']",2,XX0,VDD,PRP,DT0,1,48,0.30837499999999995
1312,mrs aggie give she a shilling a week because as she say she be she assistant for there must be someone to hold the horse and look after the cart and see that the child do not nick steal the clothes off it,L,hold_horse,['AT0'],1,TO0,PNI,CJC,VVB,1,43,0.27652380952380956
1313,hold you horse say joe the lady be with i,I,hold_horse,['DPS'],1,,PRP,VVD,NP0,1,10,0.6424000000000001
1314,hermes at the left end hold the winged horse of athena 's chariot which she be mount on the central slab another goddess almost certainly aphrodite step down from a chariot which face the other way,L,hold_horse,"['AT0', 'AJ0']",2,NN1,AJ0,PRF,NP0,1,36,0.39640000000000003
1315,king queens prince great lords and lady poor people the boy who hold the horse everyone,L,hold_horse,['AT0'],1,PNQ,NN2,PNI,,1,16,0.40758333333333335
1316,a young french assistant who have be hold the white horse on which duclos range the plantation each day step forward at a signal from he and steady the animal while he mount,L,hold_horse,"['AT0', 'AJ0']",2,VBN,VHD,PRP,DTQ,2,33,0.41030000000000005
1317,but i used to take all the harness off hold the horse back and i say right and the job be do,L,hold_horse,['AT0'],1,AVP,NN1-VVB,AVP,CJC,2,22,0.4220666666666667
1318,shall i hold the horse she ask,L,hold_horse,['AT0'],1,PNP,VM0,PNP,VVD,1,7,0.65925
1319,hold you horse,Q,hold_horse,['DPS'],1,,DPS,,,1,3,0.4285
1320,corbett give a child a penny to hold the horse and they go into the priest 's house,L,hold_horse,['AT0'],1,TO0,NN1,CJC,PNP,1,18,0.7031818181818182
1321,irritably she really want that cup of tea she be grow as bad as the british mcallister turn off the gas ring blow out the match and walk to the front door grumble to herself hold you horse i be come i be come when another urgent series of knock sound,I,hold_horse,['DPS'],1,PNX,PRP,PNP,VBB,1,51,0.2196969696969697
1322,three of they move forward sword unsheathed while the fourth hold they horse grin evilly and call encouragement to he fellow,L,hold_horse,['DPS'],1,ORD,AT0,VVG,AV0-AJ0,1,21,0.46853333333333325
1323,an urchin be hold the horse,L,hold_horse,['AT0'],1,VBD,NN1,,,1,6,0.433
1324,scathach hold the horse,L,hold_horse,['AT0'],1,NP0-NN1,,,,1,4,0.5973333333333334
1325,we push through these into the tavern whilst we guide stay outside to hold the horse,L,hold_horse,['AT0'],1,TO0,AV0,,,1,16,0.43681818181818177
1326,hold you horse then mr curtis,Q,hold_horse,['DPS'],1,,NP0,AV0,NP0,1,6,0.4285
1327,yeah the spear the bloke hold he other horse and it reach right to the ceiling,L,hold_horse,"['DPS', 'AJ0']",2,NN2,AT0,CJC,PNP,1,16,0.6164999999999999
1328,they be thus not simply a mentality derive from popular religion but from a traditional roman catholicism which hold sway in catholic europe from the post-reformation period and remain unchallenged until the 1960s,I,hold_sway,[],0,DTQ,NN1,PRP,AJ0,1,33,0.23799999999999993
1329,and even amid it licensed disorderly street ceremonial and ritual can hold sway as be display by the stately procession through the teeming reveller of a stoop-kneed silk-swathed geisha and she entourage,I,hold_sway,[],0,VM0,NN1,CJS,VBZ,1,32,0.2520625
1330,have be reject after hold sway for so long they be now seek new way of make friend and influence people,I,hold_sway,[],0,PRP,VVN,PRP,AV0,1,21,0.23299999999999996
1331,realist face battle to hold sway over divided loyalty,I,hold_sway,[],0,TO0,VVB-NN1,PRP-AVP,AJ0,1,9,0.513875
1332,polarisation in israel there certainly be but if one apply the same broad definition of moderate and extremist to the israeli as one do to the palestinian one can not but conclude that precisely the reverse situation prevail among they that it be they jibrils and abu musas or religious fundamentalist in the hamas mould who hold sway,I,hold_sway,[],0,PNQ,VVB-NN1,,,1,58,0.34728125
1333,it be crucial that they be give a wholehearted well-funded chance for otherwise the court of last resort may turn out to be the one where the master of the rolls hold sway,I,hold_sway,[],0,NP0,AT0,,,1,33,0.3960500000000001
1334,it be crucial that they be give a wholehearted well-funded chance for otherwise the court of last resort may turn out to be the one where the master of the rolls hold sway,I,hold_sway,[],0,NP0,AT0,,,1,33,0.3960500000000001
1335,for a gentle corrective one could do badly than go back to h.l. mencken who opine that alexander graham bell the progenitor of the institution in which penzia hold sway and thomas alva edison have do more than any of they contemporary to add to the sum of life 's damned nuisance,I,hold_sway,[],0,NN2,DTQ,CJC,NP0,1,52,0.4106
1336,there be a consoling belief one that have always hold dull sway over critical and receptive mind that both rock and pop be fundamentally about good song,I,hold_sway,['AJ0'],1,AV0,VHZ,PRP,AJ0,1,27,0.20033333333333334
1337,it solidify the tentative idea that have be evolve in whitehall since the drafting of the 1952 global strategy paper and it be in many respect ahead of think in washington where traditional military orthodoxy still hold sway,I,hold_sway,[],0,AV0,NN1,,,1,38,0.3768518518518518
1338,until the unexpected socialist victory in 1981 the right have hold undisputed sway in france for quarter of a century,I,hold_sway,['AJ0'],1,VHD,NN1,PRP,NP0,1,20,0.4733125
1339,for the next eighty year the argument that a tunnel under the silver streak of the channel would pose a major security problem hold sway although a tunnel would have be of great advantage to britain during the first world war,I,hold_sway,[],0,NN1,NN1,CJS,AT0,1,41,0.3625333333333334
1340,that policy be overturn in two minute flat but it be worth remember that it have hold sway since the inception of the service area fifteen year early,I,hold_sway,[],0,VHD,PNP,CJS-PRP,AT0,1,28,0.3238333333333333
1341,they be fight for justice for the worker a fine cause but one that have already prove useless in russia where the same old bureaucratic hierarchy hold sway as it do in spain,I,hold_sway,[],0,NN1,AJ0,CJS,PNP,1,33,0.21191304347826084
1342,in a society where a developmental model hold sway the ideal level of prevention be primary improve social condition so individual do not need to become client,I,hold_sway,[],0,NN1,AJ0,AT0,AJ0,1,27,0.5250952380952381
1343,maggie sit with the other and natasha make for the bar where muriel an orange-haired dragon somewhere in she seventies hold sway as chief barmaid,I,hold_sway,[],0,CRD,DPS,PRP,AJ0,1,25,0.34857142857142864
1344,by 1648 at the end of the thirty year ' war catholicism hold total sway,I,hold_sway,['AJ0'],1,NN1,NN1,,,1,15,0.28154545454545454
1345,nineteenth-century form and style hold sway until the 1920s when they be replace by they horrendous antithesis functionalism,I,hold_sway,[],0,NN2,CJC,PRP,AT0,1,18,0.26971428571428574
1346,such argument would not hold sway in a university let alone in an oxbridge college but economic pressure may force they librarian along a path beat by professional colleague in another part of the wood,I,hold_sway,[],0,XX0,VM0,PRP,AT0,1,35,0.1981818181818182
1347,a central objective of the post-war welfare state be indeed to alleviate the problem of the urban poor over whom beveridge 's five giant want disease ignorance squalor and idleness have for so long hold sway,I,hold_sway,[],0,AV0,AV0,,,1,36,0.3025925925925925
1348,above all the educational theory of the american philosopher john dewey belatedly cross the atlantic hold sway especially in teacher-training college,I,hold_sway,[],0,NP0,AT0,AV0,PRP,1,21,0.4132
1349,the court of appeal reject the view that have previously hold sway namely that it be possible for any employee to work both ordinarily in great britain and outside it,I,hold_sway,[],0,AV0,VHD,AV0,CJT,1,30,0.36431578947368426
1350,he be generally believe to be commemorate in the place name caradon which formerly apply only to the hill around which he hold sway but now cover a complete district of south east cornwall,I,hold_sway,[],0,PNP,DTQ,CJC,AV0,1,34,0.23366666666666666
1351,it have be advocate countless time but prejudice against it hold sway and it be argue that identify player would pander to they individual ego,I,hold_sway,[],0,PNP,PRP,CJC,PNP,1,25,0.11820000000000001
1352,witchcraft itself never become illegal as on the continent where the inquisition hold sway only the alleged effect such as damage to goods or death and injury to people,I,hold_sway,[],0,NN1,AT0,AV0,AT0,1,29,0.12284999999999999
1353,he have hold sway at the college for 45 year for 40 of which he have be assist by he faithful subordinate william sewell who now at the age of 58 be to succeed he master as professor,I,hold_sway,[],0,VHD,PNP,PRP,AT0,1,38,0.40360000000000007
1354,when temper be arouse at home and dirty name be bandy back and forth louis 's be the quiet voice of reason which hold sway melt the fire of passion,I,hold_sway,[],0,DTQ,NN1,VVG,AT0,1,30,0.44172222222222224
1355,although the victorian value embed in tennyson 's line continue to hold sway in many quarter most people recognize the inequality and injustice that result from home and work activity be allot accord to gender,I,hold_sway,[],0,TO0,VVB,PRP,DT0,1,35,0.40136000000000005
1356,it be however as we have see one of the great issue of the seventeenth century whether the crown or parliament be to hold the dominant sway under the english constitution and it be in this context that parliament of england declare themselves to be sovereign,I,hold_sway,"['AT0', 'AJ0']",2,TO0,VBD,PRP,AT0,1,46,0.48970370370370375
1357,as we can see alvarez' balanced strategy also hold sway in the bass arena,I,hold_sway,[],0,AV0,NN1,PRP,AT0,1,14,0.36587500000000006
1358,inanna be restore by she loyal subject but be forever accompany by a ghastly demon-servant and have to periodically go into hide so she evil sister could hold sway and unleash she temper thus explain the continuing paradox of life and death illness and health harvest and famine,I,hold_sway,[],0,VM0,NN1,CJC,VVB,1,48,0.1602962962962963
1359,on the coromandel coast of tamil nadu in south-east india the pallava dynasty which hold sway during the fourth to eighth century trace it lineage to naga ancestor as do many royal family in kashmir in the north of india,I,hold_sway,[],0,DTQ,NN1,PRP,AT0,1,40,0.48558333333333326
1360,local board with less power than municipality hold sway over small town,I,hold_sway,[],0,NN2,CJS,PRP-AVP,AJC,1,12,0.30166666666666664
1361,livermore be understandably keen to discuss the moment in which football hold sway over the niggling,I,hold_sway,[],0,NN1,DTQ,PRP-AVP,AT0,1,16,0.22153846153846152
1362,mother francis have take the bus to they convent in dublin and speak to the very difficult mother clare who hold sway there,I,hold_sway,[],0,PNQ,NP0,AV0,,1,23,0.25031250000000005
1363,child themselves hold the great sway and more than 60 per cent of mother and father be influence by they offspring,I,hold_sway,"['AT0', 'AJS']",2,PNX,NN2,CJC,AV0,1,21,0.4217499999999999
1364,he add those who be intent on pursue violence be perhaps hold the majority sway now within the ira army council,I,hold_sway,"['AT0', 'NN1']",2,AV0,VBB,AV0,PRP,1,21,0.31807692307692315
1365,it be difficult to establish which of the two scientific theory could hold sway,I,hold_sway,[],0,VM0,NN2,,,1,14,0.2993
1366,that be a notion that i hold sway,Q,hold_sway,[],0,PNP,CJT,,,1,8,0.042
1367,i know there be those who would prefer anarchy to hold sway but what they do be destroy everything about climb most of we hold dear,I,hold_sway,[],0,TO0,NN1,CJC,DTQ,1,26,0.3410714285714286
1368,it be a place for comici 's drop-of-water philosophy to hold sway,I,hold_sway,[],0,TO0,NN1,,,1,12,0.334
1369,however we become aware in the late 1980s of the need to address a wide definition of publish beyond the print-based expectation that have hold sway since gutenberg,I,hold_sway,[],0,VHZ,CJT,PRP,NP0,1,28,0.68075
1370,secondly the feeling about parental figure be strong this be an emotionally highly charge area to work in where each person 's experience will be unique family rule and prohibition hand down through the generation hold sway,I,hold_sway,[],0,NN2,AT0,,,1,37,0.36723076923076925
1371,it be however a fascinating tale and provide the explanation for one who know the area well as to why the lner be able to establish a toehold in a region when the great western and lms constituent hold sway,I,hold_sway,[],0,NN2,NN1,,,1,40,0.42424999999999985
1372,that be not the mood of the 1950s when critic hold sway far outside university and learn journal and know it,I,hold_sway,[],0,NN2,AVQ,AV0-AJ0,AJ0,1,21,0.4466153846153845
1373,overall the view that black ' success in certain sport be not chisel out of hard work determination and perseverance but out of a somewhat intangible capacity call natural ability hold sway amongst coach manager and even amongst athlete themselves,I,hold_sway,[],0,NN1,AJ0,PRP,NN2,1,40,0.15982142857142856
1374,dickens ' reading of the english reformation hold sway for nearly two decade but in the early 1980s christopher haigh and jack scarisbrick begin to challenge and revise he interpretation of event,I,hold_sway,[],0,NN1,AJ0-NN1,PRP,AV0,1,32,0.2967894736842105
1375,the game afoot have go way beyond technology into the realm of perception where microsoft corp hold almost total sway,I,hold_sway,"['AV0', 'AJ0']",2,NN1,NP0,,,1,20,0.400125
1376,however the significance of the south bank theologian be not only to be see in they effect on the church but also accord to mrs whitehouse in they affinity with the secular intellectual elite which hold sway in the 1960s,I,hold_sway,[],0,DTQ,NN1,PRP,AT0,1,40,0.39792
1377,she identify a golden age of broadcasting which be essentially contemporaneous with the reithian era at the bbc where some sort of christian moral absolutism hold sway,I,hold_sway,[],0,NN1,AJ0,,,1,27,0.3669285714285714
1378,the game afoot have go way beyond technology into the realm of perception where microsoft corp hold almost total sway,I,hold_sway,"['AV0', 'AJ0']",2,NN1,NP0,,,1,20,0.400125
1379,less visibly but just as significantly by confirm agreement reach between castellan or advocate and the community over which they hold sway prince play they part in the evolution of customary law across the whole of west francia,I,hold_sway,[],0,PNP,DTQ,NN2,VVD,1,38,0.4231923076923077
1380,while laski be thus influence by many of the strand of thought which we have identify as foundation of functionalism he view have in turn hold great sway over the development of the functionalist style in public law,I,hold_sway,['AJ0'],1,NN1,PRP,PRP,AT0,1,38,0.5240714285714285
